description,class
"BuzziDesk screen, Frame, FAB",DeskScreenFrame
"BuzziDesk screen, Frame, FAB",DeskScreenFrame
"BuzziDesk screen, Frame, FAB",DeskScreenFrame
"BuzziDesk screen, Frame, FAB",DeskScreenFrame
Buzzi brown tape with logo A-0000000203,Tape
Buzzi Glide cap Transparant,Endcap
Buzzi plastic extrusion cap,Spacer
BuzziSpace tag A-0000000339,ProductLabel
Buzzi bolt M8x37 DIN 464,MetricScrew
Buzzi GLIDE M8x35,MetricScrew
Buzzi velcro Pad 32x32x1 Loop,Tape
Welding nut M8,Nut
"MetricScrew, 1/4-20X7/8, PanHead, Hexagonal",MetricScrew
"Planes adapter for glide,FAB",Sleeve
"MD,Adhesive,hot, Henkel Technomelt KS 3567",Glue
Adhesive CA50 GEL,Glue
"Glue, Novattane 2100, 21007S",Glue
"Arm kit,X99,seminar,export",ArmrestAssy
"Arm kit,mesh,seminar,X99, Export",ArmrestAssy
"Arm support painted,LH,CONF,FAB",ArmrestSupport
"Arm Support Painted,Rh,Conf,FAB",ArmrestSupport
"Arm support painted,LH,CONF",ArmrestSupport
"Arm Support Painted,Rh,Conf",ArmrestSupport
"BRACKET, LOCK, FORWARD TILT",SeatingControl
"Arm,SUB cap,LH,side stool,very",ArmCap
"Arm,SUB cap,LH,side stool,very",ArmCap
"Arm,SUB cap,RH,side stool,very",ArmCap
"Arm,SUB cap,RH,side stool,very",ArmCap
"Arm,tablet,casting,ASSY,LH, Very",WriteTableFrame
"Arm,tablet,casting,ASSY,RH, Very",WriteTableFrame
"Cable outlet, center,Alu flip top, FAB Test",CableOutlet
"Cable outlet, center,Alu flip top, FAB Test",CableOutlet
"Cable outlet, center,Alu flip top, FAB Test",CableOutlet
Stopper of Mech,MiscMechComp
"Planes arm, Fliptop Top Support offset,FAB",TopSupport
"right arm, ALOHA,1D",ArmrestAssy
"right arm, ALOHA,1D",ArmrestAssy
"left arm, ALOHA,1D",ArmrestAssy
"left arm, ALOHA,1D",ArmrestAssy
"Upright plug, LH, Fern",Endcap
"Upright plug, LH, Fern",Endcap
"Upright plug, LH, Fern",Endcap
"Upright plug, RH, Fern",Endcap
"Upright plug, RH, Fern",Endcap
"Upright plug, RH, Fern",Endcap
Inner Shell Arm LH Poppy,SeatShell
Inner Shell Arm RH Poppy,SeatShell
"ArmUpright, 1D, pair w/ cap, Fern",ArmrestAssy
"ArmUpright, 1D, pair w/ cap, Fern",ArmrestAssy
"ArmUpright, 1D, pair w/ cap, Fern",ArmrestAssy
"ArmUpright, 4D, pair w/ cap, Fern",ArmrestAssy
"ArmUpright, 4D, pair w/ cap, Fern",ArmrestAssy
"ArmUpright, 4D, pair w/ cap, Fern",ArmrestAssy
"4D Arm , ALOHA",ArmrestAssy
"4D Arm , ALOHA",ArmrestAssy
"4D Arm upright LH ASSY,including arm cap",ArmrestAssy
"4D Arm upright LH ASSY,including arm cap",ArmrestAssy
"4D Arm upright LH ASSY,including arm cap",ArmrestAssy
"4D Arm upright RH ASSY, including arm cap",ArmrestAssy
"4D Arm upright RH ASSY, including arm cap",ArmrestAssy
"4D Arm upright RH ASSY, including arm cap",ArmrestAssy
"1D Arm upright LH ASSY, including arm cap",ArmrestAssy
"1D Arm upright LH ASSY, including arm cap",ArmrestAssy
"1D Arm upright LH ASSY, including arm cap",ArmrestAssy
"1D Arm upright RH ASSY, including arm cap",ArmrestAssy
"1D Arm upright RH ASSY, including arm cap",ArmrestAssy
"1D Arm upright RH ASSY, including arm cap",ArmrestAssy
"Arm, Cap, Lh, for Side Chair, Maari",ArmCap
"Arm, Cap, Lh, for Side Chair, Maari",ArmCap
"Arm, Cap, Lh, for Side Chair, Maari",ArmCap
